#{"t_start": 1749386233.312694, "env_id": "CartPole-v1"}
r,l,t
10.0,10,8.022012
25.0,25,8.048851
17.0,17,8.063749
11.0,11,8.065488
15.0,15,8.077107
12.0,12,8.087186
17.0,17,8.101184
23.0,23,8.120899
34.0,34,8.150889
15.0,15,8.167736
14.0,14,8.176751
15.0,15,8.186769
13.0,13,8.194527
18.0,18,8.212702
11.0,11,8.220665
19.0,19,8.233968
17.0,17,8.241879
21.0,21,8.266766
14.0,14,8.266766
27.0,27,8.291003
16.0,16,8.29951
23.0,23,8.323928
24.0,24,8.342979
23.0,23,8.347057
29.0,29,8.378936
22.0,22,8.397624
12.0,12,8.397624
11.0,11,8.413547
13.0,13,8.421414
18.0,18,8.437438
11.0,11,8.443446
29.0,29,8.460671
23.0,23,8.460671
16.0,16,8.486803
14.0,14,8.496578
13.0,13,8.504605
12.0,12,8.512518
12.0,12,8.527028
18.0,18,8.543633
25.0,25,8.560558
27.0,27,8.580423
12.0,12,8.592558
19.0,19,8.603988
18.0,18,8.607994
12.0,12,8.624019
23.0,23,8.64826
11.0,11,8.654267
22.0,22,8.668358
12.0,12,8.671749
12.0,12,8.68942
19.0,19,8.70146
15.0,15,8.709228
15.0,15,8.717255
19.0,19,8.731574
14.0,14,8.735085
26.0,26,8.751202
15.0,15,8.767145
12.0,12,8.773956
41.0,41,8.798914
12.0,12,8.798914
22.0,22,8.814895
27.0,27,8.831136
22.0,22,8.862763
16.0,16,8.876595
9.0,9,8.884694
30.0,30,8.906513
20.0,20,8.913098
14.0,14,8.928324
10.0,10,8.934336
16.0,16,8.946671
11.0,11,8.952419
22.0,22,8.966709
9.0,9,8.972715
20.0,20,8.982393
14.0,14,8.998883
18.0,18,9.010857
12.0,12,9.018885
11.0,11,9.03516
10.0,10,9.042475
30.0,30,9.072159
14.0,14,9.081706
12.0,12,9.095732
50.0,50,9.131018
37.0,37,9.144707
13.0,13,9.144707
9.0,9,9.169899
20.0,20,9.177914
15.0,15,9.177914
18.0,18,9.193932
13.0,13,9.209878
8.0,8,9.209878
12.0,12,9.226616
19.0,19,9.241617
23.0,23,9.256999
16.0,16,9.269032
12.0,12,9.272789
19.0,19,9.272789
13.0,13,9.299649
19.0,19,9.312685
47.0,47,9.340225
16.0,16,9.347978
21.0,21,9.369231
18.0,18,9.380988
14.0,14,9.389001
13.0,13,9.39501
12.0,12,9.398756
15.0,15,9.415631
18.0,18,9.429676
19.0,19,9.4409
12.0,12,9.452537
19.0,19,9.464295
25.0,25,9.477793
13.0,13,9.485804
10.0,10,9.493786
10.0,10,9.501799
10.0,10,9.505805
18.0,18,9.520462
10.0,10,9.530049
18.0,18,9.542117
21.0,21,9.558701
16.0,16,9.566787
9.0,9,9.578495
14.0,14,9.590734
11.0,11,9.598541
13.0,13,9.611951
13.0,13,9.623766
17.0,17,9.633785
14.0,14,9.643798
18.0,18,9.645542
17.0,17,9.668303
23.0,23,9.683299
17.0,17,9.696549
38.0,38,9.717352
13.0,13,9.736447
18.0,18,9.747505
43.0,43,9.775667
11.0,11,9.78368
29.0,29,9.805367
20.0,20,9.805367
14.0,14,9.829903
11.0,11,9.836913
15.0,15,9.848675
28.0,28,9.866556
18.0,18,9.880622
15.0,15,9.885942
11.0,11,9.898871
18.0,18,9.901884
14.0,14,9.91758
11.0,11,9.91758
17.0,17,9.933668
12.0,12,9.949498
16.0,16,9.949498
21.0,21,9.973643
16.0,16,9.990108
13.0,13,9.997633
19.0,19,10.007648
17.0,17,10.017403
15.0,15,10.029503
14.0,14,10.037528
16.0,16,10.055969
11.0,11,10.064141
17.0,17,10.082918
37.0,37,10.103431
30.0,30,10.119542
12.0,12,10.119542
22.0,22,10.151441
12.0,12,10.151441
16.0,16,10.167549
13.0,13,10.173558
8.0,8,10.187363
15.0,15,10.191369
31.0,31,10.215094
14.0,14,10.22513
11.0,11,10.23489
14.0,14,10.242641
19.0,19,10.254397
19.0,19,10.262149
13.0,13,10.278031
31.0,31,10.297742
11.0,11,10.309479
24.0,24,10.325723
11.0,11,10.340955
15.0,15,10.340955
13.0,13,10.357077
15.0,15,10.357077
35.0,35,10.3889
21.0,21,10.405499
14.0,14,10.413524
12.0,12,10.419543
25.0,25,10.436816
24.0,24,10.452277
18.0,18,10.460436
17.0,17,10.468055
11.0,11,10.487347
19.0,19,10.500147
11.0,11,10.500147
22.0,22,10.520883
14.0,14,10.532641
13.0,13,10.542354
13.0,13,10.548361
23.0,23,10.564132
16.0,16,10.574332
32.0,32,10.587161
35.0,35,10.620024
10.0,10,10.620024
12.0,12,10.63603
12.0,12,10.63603
12.0,12,10.651864
37.0,37,10.667824
12.0,12,10.683876
12.0,12,10.695346
14.0,14,10.706208
13.0,13,10.7156
16.0,16,10.727624
14.0,14,10.735375
24.0,24,10.748875
12.0,12,10.756884
13.0,13,10.770647
9.0,9,10.778399
10.0,10,10.780401
11.0,11,10.784406
9.0,9,10.786409
8.0,8,10.790414
12.0,12,10.802036
19.0,19,10.81021
10.0,10,10.81021
19.0,19,10.835893
12.0,12,10.841652
32.0,32,10.861761
17.0,17,10.875523
20.0,20,10.889285
16.0,16,10.889285
22.0,22,10.907301
11.0,11,10.921428
18.0,18,10.937549
19.0,19,10.949346
11.0,11,10.95335
17.0,17,10.95335
44.0,44,11.001357
20.0,20,11.016991
17.0,17,11.016991
34.0,34,11.048888
15.0,15,11.064771
18.0,18,11.080633
23.0,23,11.105392
34.0,34,11.14001
11.0,11,11.151916
29.0,29,11.169945
21.0,21,11.183736
27.0,27,11.197527
10.0,10,11.213467
9.0,9,11.213467
26.0,26,11.229151
13.0,13,11.229151
28.0,28,11.260934
14.0,14,11.260934
20.0,20,11.283604
14.0,14,11.293482
13.0,13,11.293482
23.0,23,11.308622
15.0,15,11.332326
28.0,28,11.350365
20.0,20,11.358028
17.0,17,11.378629
14.0,14,11.38664
17.0,17,11.399235
13.0,13,11.403247
14.0,14,11.419358
19.0,19,11.435495
20.0,20,11.435495
15.0,15,11.451216
18.0,18,11.467372
12.0,12,11.480576
21.0,21,11.492472
13.0,13,11.504077
19.0,19,11.514372
11.0,11,11.527193
13.0,13,11.540234
14.0,14,11.545985
26.0,26,11.567922
24.0,24,11.583934
24.0,24,11.605692
16.0,16,11.621411
16.0,16,11.631442
15.0,15,11.639211
13.0,13,11.645233
9.0,9,11.657299
14.0,14,11.66531
22.0,22,11.679074
10.0,10,11.684821
15.0,15,11.697064
16.0,16,11.708841
11.0,11,11.716606
19.0,19,11.73449
17.0,17,11.752195
23.0,23,11.763831
18.0,18,11.763831
12.0,12,11.779466
14.0,14,11.79479
15.0,15,11.802815
14.0,14,11.812588
20.0,20,11.824625
17.0,17,11.837923
14.0,14,11.841929
11.0,11,11.841929
27.0,27,11.867682
45.0,45,11.88951
25.0,25,11.905605
12.0,12,11.925127
21.0,21,11.937308
10.0,10,11.937308
25.0,25,11.953295
22.0,22,11.969321
10.0,10,11.984996
32.0,32,12.000894
24.0,24,12.016556
14.0,14,12.037984
15.0,15,12.047738
18.0,18,12.063799
17.0,17,12.076239
22.0,22,12.089291
12.0,12,12.100368
14.0,14,12.106917
16.0,16,12.129462
48.0,48,12.15987
24.0,24,12.175503
10.0,10,12.187499
13.0,13,12.193507
15.0,15,12.203262
11.0,11,12.211272
12.0,12,12.223048
10.0,10,12.229383
15.0,15,12.242025
9.0,9,12.251512
47.0,47,12.288175
57.0,57,12.323871
22.0,22,12.339787
15.0,15,12.34964
16.0,16,12.355453
14.0,14,12.355453
32.0,32,12.393956
20.0,20,12.407676
15.0,15,12.420937
16.0,16,12.42496
15.0,15,12.440713
11.0,11,12.444719
16.0,16,12.457752
54.0,54,12.497108
20.0,20,12.512854
14.0,14,12.512854
12.0,12,12.528628
19.0,19,12.544532
10.0,10,12.544532
10.0,10,12.5607
13.0,13,12.573522
12.0,12,12.582552
18.0,18,12.594328
22.0,22,12.606362
14.0,14,12.624802
19.0,19,12.639225
19.0,19,12.641227
24.0,24,12.667902
29.0,29,12.682925
