#{"t_start": 1749381240.964835, "env_id": "CartPole-v1"}
r,l,t
17.0,17,11.114012
86.0,86,11.170008
45.0,45,11.189796
26.0,26,11.20156
31.0,31,11.209326
39.0,39,11.225321
63.0,63,11.283617
33.0,33,11.300465
60.0,60,11.336053
30.0,30,11.355061
59.0,59,11.39148
36.0,36,11.41307
16.0,16,11.422593
47.0,47,11.446599
34.0,34,11.464183
30.0,30,11.47918
91.0,91,11.527035
54.0,54,11.556375
78.0,78,11.583885
36.0,36,11.613924
32.0,32,11.631628
81.0,81,11.672133
86.0,86,11.705132
25.0,25,11.721185
65.0,65,11.762709
265.0,265,11.922085
236.0,236,12.011073
172.0,172,12.079521
206.0,206,12.152719
189.0,189,12.220421
